Label,URL,brand,name,price,rating,description,skin_type,skincare_concerns,ingredients,likes,normal,oily,combination,dry,sensitive,dryness,wrinkles,oiliness,dullness,dark_spots,pores,redness,acne,uneven_skin_tone,sallowness,class_specified
Cleanser,https://www.sephora.com/product/beste-no-9-jelly-cleanser-P426836?icid2=products%20grid:p426836,DRUNK ELEPHANT,Beste™ No. 9 Jelly Cleanser,32.0,4.0,"An innovative jelly cleanser that removes all traces of makeup, excess oil, pollution, and any other grime from the day. Free of SLS, fragrance, and essential oils, Beste™ No. 9 is totally non-irritating, non-sensitizing, and appropriate for all skin.","[1, 1, 1, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","water, glycerin, cocamidopropyl betaine, coco-glucoside, sodium lauroyl methyl isethionate, cocamidopropyl hydroxysultaine, sodium methyl oleoyl taurate, propanediol, aloe barbadensis leaf extract, glycolipids, linoleic acid, linolenic acid, lauryl glucoside, cucumis melo cantalupensis fruit extract, sclerocarya birrea seed oil, dipotassium glycyrrhizate, tocopherol, citric acid, phenoxyethanol, sodium hydroxide, sodium benzoate, sodium chloride, polylysine.",68100,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,oiliness
Cleanser,https://www.sephora.com/product/purity-made-simple-P7109?icid2=products%20grid:p7109,PHILOSOPHY,Purity Made Simple Cleanser,24.0,4.5,"A face wash for easy, one-step cleansing—Purity Made Simple Facial Cleanser, the number one face wash in America.","[1, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","water, sodium lauroamphoacetate, sodium trideceth sulfate, limnanthes alba (meadowfoam) seed oil, coco-glucoside, coconut alcohol, peg-120 methyl glucose dioleate, glycerin, carbomer, isopropyl alcohol, polysorbate 20, citric acid, imidazolidinyl urea, methylparaben, aniba rosaeodora (rosewood) wood oil, propylparaben, triethanolamine, amyris balsamifera bark oil, bulnesia sarmientoi wood oil, cymbopogon martini oil, pelargonium graveolens flower oil, rosa centifolia flower oil, santalum album (sandalwood) oil, daucus carota sativa (carrot) seed oil, mimosa tenuiflora bark extract, ormenis multicaulis oil, piper nigrum (pepper) fruit oil, salvia sclarea (clary) oil, fd&c yellow no. 5 (ci 19140).",172800,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,pores
Cleanser,https://www.sephora.com/product/rose-deep-hydration-facial-toner-P417936?icid2=products%20grid:p417936,FRESH,Rose Deep Hydration Facial Toner,45.0,4.2,"A daily, non-stripping toner with real rose petals and hyaluronic acid that minimizes pores while increasing hydration by 46 percent for six hours.","[1, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","water, glycerin, butylene glycol, rosa centifolia flower, rosa damascena flower water, rosa multiflora fruit extract, angelica keiskei extract, rosa damascena flower oil, sodium hyaluronate, peg-150, ppg-26-buteth-26, peg-40 hydrogenated castor oil, sodium citrate, xanthan gum, citric acid, bht, parfum (fragrance), phenoxyethanol, citronellol, geraniol.",122400,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,dryness
Cleanser,https://www.sephora.com/product/salicylic-acid-cleanser-P443833?icid2=products%20grid:p443833,THE INKEY LIST,Salicylic Acid Acne + Pore Cleanser,9.0,4.1,"A lightly-foaming cleanser that removes makeup and dirt, helping to reduce blackheads, acne, and blemishes while unclogging pores.","[1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","water, glycerin, sodium methyl cocoyl taurate, cocamidopropyl betaine, cocamidopropyl dimethylamine, peg-120 methyl glucose dioleate, salicylic acid, betaine, zinc pca, phenoxyethanol, sodium chloride, allantoin, coco-glucoside, glyceryl oleate, benzyl alcohol, coconut acid, ethylhexylglycerin, sodium benzoate, citric acid, dehydroacetic acid, trisodium ethylenediamine disuccinate, tocopherol, hydrogenated palm glycerides citrate.",7900,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,acne
Cleanser,https://www.sephora.com/product/mario-badescu-glycolic-foaming-cleanser-P440489?icid2=products%20grid:p440489,MARIO BADESCU,Glycolic Foaming Cleanser,16.0,4.3,A resurfacing face wash that refines the look of uneven skin tone and texture.,"[1, 1, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]","sodium lauryl sulfate, water, cocamidopropyl betaine, cocamide mea, glycolic acid, salvia officinalis (sage) leaf extract, hypericum perforatum extract, chamomilla recutita (matricaria) flower extract, althaea officinalis leaf/root extract, achillea millefolium extract, sodium chloride, fragrance, propylene glycol, methylparaben, propylparaben, diazolidinyl urea.",5000,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,uneven skin tone
Cleanser,https://www.sephora.com/product/greek-yoghurt-foaming-cream-cleanser-P432263?icid2=products%20grid:p432263,KORRES,Greek Yoghurt Foaming Cream Cleanser Mini,14.0,4.1,"An indulgent cream-to-foam, soap-free cleanser that’s formulated with real skin-nourishing Greek yogurt.","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","water, sodium cocoyl isethionate, coco-betaine, cetearyl alcohol, disodium lauryl sulfosuccinate, zea mays (corn) starch, glycerin, cocamidopropyl betaine, sodium methyl cocoyl taurate, magnesium aluminum silicate, glyceryl laurate, sclerotium gum, amaranthus caudatus seed extract, fragrance, hydrogenated castor oil, hydrolyzed rice protein, lactose, lonicera caprifolium (honeysuckle) flower extract, lonicera japonica (honeysuckle) flower extract, sodium cocoyl alaninate, sodium cocoyl hydrolyzed amaranth protein, sodium phytate, titanium dioxide, whey protein, yoghurt powder.",0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,redness
Cleanser,https://www.sephora.com/product/truth-on-the-glow-cleansing-cloths-P385342?skuId=1910439&icid2=products%20grid:p385342,OLEHENRIKSEN,Truth™ On the Glow Cleansing Cloths,8.0,4.2,"A pack of travel-friendly brightening wipes, with vitamin c and jojoba seed oil, to deeply cleanse, hydrate, and deliver a radiant glow.","[1, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","water, gluconolactone, olea europaea (olive) fruit oil, sodium benzoate, glycerin, parfum/fragrance, coco-glucoside, aroma/flavor, dehydroacetic acid, tocopheryl acetate, citric acid, ascorbic acid, calcium gluconate, elaeis guineensis oil, vitis vinifera (grape) seed oil, simmondsia chinensis (jojoba) seed oil, squalane, propylene glycol, ribes nigrum (black currant) seed oil, pullulan, cera carnauba/copernicia cerifera (carnauba) wax/cire de carnauba, camellia sinensis leaf extract, rosa gallica flower extract, decyl glucoside, nannochloropsis oculata extract, pentylene glycol, punica granatum (pomegranate) fruit extract, potassium sorbate, phenoxyethanol, ubiquinone, vitis vinifera (grape) seed extract, tocopherol, sorbic acid, rosa damascena flower oil, sodium sulfite, trisodium edta, limonene, benzyl alcohol, citral, linalool.",22200,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,dryness
Cleanser,https://www.sephora.com/product/face-cleanser-P248404?skuId=1543313&icid2=products%20grid:p248404,FIRST AID BEAUTY,Pure Skin Face Cleanser,11.0,4.4,"A fragrance-free, gentle cleanser that effectively removes makeup, dirt, and grime, leaving skin soft and supple.","[1, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","water/aqua/eau, sodium cocoyl isethionate, glycerin, stearic acid, hydrogenated coconut acid, sodium isethionate, stearyl alcohol, allantoin, chrysanthemum parthenium (feverfew) extract, camellia sinensis leaf extract, glycyrrhiza glabra (licorice) extract, aloe barbadensis leaf juice, tocopherol, caprylyl glycol, sodium pca, coco-glucoside, glyceryl oleate, hydroxypropyl methylcellulose, hydrogenated palm glycerides citrate, disodium cocoamphodiacetate, phenoxyethanol, sodium chloride, disodium edta, citric acid, maltodextrin, leuconostoc/radish root ferment filtrate, edta.",86100,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,dryness
Cleanser,https://www.sephora.com/product/ginzing-refreshing-scrub-cleanser-P386197?icid2=products%20grid:p386197,ORIGINS,GinZing™ Refreshing Scrub Cleanser,21.0,4.5,"A two-in-one energy-boosting cleanser that gently exfoliates the skin, refines skin’s texture, and revitalizes the skin, leaving it looking smooth and radiant.","[1, 1, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","water, cocamidopropyl hydroxysultaine, coco-betaine, sodium lauroyl oat amino acids, decyl glucoside, sodium cocoyl sarcosinate, acrylates copolymer, copernicia cerifera (carnauba) wax\cera carnauba\cire de carnauba, jojoba esters, sodium chloride, polysorbate 20, disodium cocoyl glutamate, citrus limon (lemon) peel oil*, citrus grandis (grapefruit) peel oil*, mentha viridis (spearmint) leaf oil*, panax ginseng (ginseng) root extract, caffeine, garcinia mangostana peel extract, cordyceps sinensis extract, butylene glycol, ethylhexylglycerin, glycerin, aloe barbadensis leaf juice, sodium cocoyl glutamate, monosodium citrate, citric acid, sodium hydroxide, disodium edta, methylchloroisothiazolinone, methylisothiazolinone, phenoxyethanol. *essential oil.",31000,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,dullness
Cleanser,https://www.sephora.com/product/acne-solutions-clarifying-lotion-P188307?icid2=products%20grid:p188307,CLINIQUE,Acne Solutions Clarifying Lotion,17.0,4.4,A medicated formula that exfoliates and reduces excess oil that can lead to breakouts.,"[1, 1, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","water , alcohol denat., nylon-12, butylene glycol, hamamelis virginiana (witch hazel), laminaria saccharina extract, caffeine, sucrose , glycerin, acetyl glucosamine, sorbitol, sea whip extract, barium sulfate, 10-hydroxydecanoic acid, silica, disodium edta, benzalkonium chloride.",29000,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,oiliness
Cleanser,https://www.sephora.com/product/sephora-collection-sugar-body-scrub-P455221?icid2=products%20grid:p455221,SEPHORA COLLECTION,Sugar Body Scrub,17.0,0.0,"A sugar body scrub that exfoliates the skin to eliminate the appearance of impurities, helping to make skin smoother and clearer.","[1, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","saccharum officinarum (sugar cane) extract, helianthus annuus (sunflower) seed oil, ricinus communis (castor) seed oil, propanediol, aqua (water), silica, isononyl isononanoate, trihydroxystearin, cocamidopropyl betaine, parfum (fragrance), polyglyceryl-6 dioleate, moringa oleifera seed oil, beheneth-25, sodium chloride, tocopherol.",1400,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,dullness
Cleanser,https://www.sephora.com/product/mario-badescu-glycolic-acid-toner-P440486?icid2=products%20grid:p440486,MARIO BADESCU,Glycolic Acid Toner,18.0,4.6,A mild resurfacing toner that brightens and balances post-cleanse.,"[1, 0, 1, 1, 0]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","water, propylene glycol, glycolic acid, citrus grandis (grapefruit) fruit extract, aloe barbadensis leaf juice, butyl methoxydibenzoylmethane, ethylhexyl methoxycinnamate, ppg-26-buteth-26, ethylhexyl salicylate, peg-40 hydrogenated castor oil, fragrance, sodium chloride, methylparaben, propylparaben, diazolidinyl urea, ci 42090 (blue 1), ci 45410 (red 28), ci 19140 (yellow 5).",10800,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,dullness
Cleanser,https://www.sephora.com/product/black-charcoal-blotting-linens-P387006?icid2=products%20grid:p387006,BOSCIA,Black Charcoal Blotting Linens,10.0,4.3,A set of purse-friendly blotting sheets powered by charcoal to help purify and refine while working to absorb excess oil for a shine-free complexion.,"[1, 1, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","natural abaca leaf fiber, black bamboo charcoal.",13900,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,oiliness
Cleanser,https://www.sephora.com/product/triple-action-cleansing-water-cleanse-purify-P445724?icid2=products%20grid:p445724,SEPHORA COLLECTION,Triple Action Cleansing Water - Cleanse + Purify,12.0,4.3,"A cleansing water, formulated with zinc and aloe vera, that efficiently removes makeup from the face and eyes while purifying the skin.","[1, 1, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","aqua (water), butylene glycol, glycerin, propanediol, peg-6 caprylic/capric glycerides, sodium chloride, polysorbate 20, caprylyl glycol, hydroxyacetophenone, parfum (fragrance), sodium benzoate, zinc pca, citric acid, aloe barbadensis leaf juice.",3800,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,pores
Cleanser,https://www.sephora.com/product/tangerine-brightening-pore-refining-cleanser-P449858?icid2=products%20grid:p449858,INNISFREE,Tangerine Brightening & Pore-Refining Cleanser,15.0,4.1,"A clay-infused, foaming cleanser, enriched with vitamin C from Jeju tangerines, that gently exfoliates and helps brighten while purifying pores.","[1, 1, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","glycerin, water, stearic acid, myristic acid, kaolin, peg-32, potassium hydroxide, lauric acid, titanium dioxide (ci 77891), cocamidopropyl betaine, glyceryl stearate, peg-100 stearate, fragrance, sodium chloride, zea mays (corn) starch, microcrystalline cellulose, lactose, sucrose, disodium edta, sodium benzoate, sodium hydroxide, tocopheryl acetate, polymethyl methacrylate, iron oxides (ci 77491), lactic acid, citrus unshiu peel extract, hydroxypropylcellulose, styrene/butadiene copolymer, propanediol, stearyl alcohol, camellia japonica leaf extract, camellia sinensis leaf extract, opuntia coccinellifera fruit extract, orchid extract, shellac, polyquaternium-6, iron oxides (ci 77492), sodium lauroyl sarcosinate, peg-75, hydroxypropyl methylcellulose, silica, papain, phenoxyethanol, ethylhexylglycerin.",3000,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,pores
